A, mu, sigma, chi2, flag
66, 2.8459423097334007, 0.5610465270020392, 0.0, 0
67, 2.8459423097334007, 0.5610465270020392, 0.0, 1
68, 2.6480008503637107, 1.4176716371547697, 6.714648146797238e-06, 0
69, 2.383676214684973, 1.267147679262169, 1.2842935770927966e-05, 0
70, 4.967703869664483, 0.5114977918961788, 2.0972698831228093e-05, 0
71, 4.850320973810535, 0.2770017693397795, 4.8562559857727724e-05, 0
72, 4.312897114336601, 0.2339278667122091, 5.653112200651639e-05, 0
73, 3.643293357661163, 0.15895462812862626, 6.875888987962787e-06, 0
74, 3.474664676711989, 0.19790108318750077, 1.4708327469059855e-05, 0
75, 3.476814970814649, 0.1890534438292868, 3.979565753799832e-05, 0
76, 3.539467593708565, 0.18564110656710442, 9.021510692006347e-06, 0
77, 3.528440378729899, 0.1577704111071585, 2.1480375528232216e-05, 0
78, 3.535265578162759, 0.11852447439205349, 1.757488312483236e-05, 0
79, 3.388733727548466, 0.10305583153393161, 0.00029778651236672546, 0
80, 3.5234105811910297, 0.08321130247528497, 3.948473097408009e-05, 0
81, 3.454697910563884, 0.12251961721571368, 0.0018516460054319494, 0
82, 3.38586913277056, 0.09899743082223345, 0.0015712391016637227, 0
83, 3.5053523940388462, 0.14044356301940308, 0.0006139914040544501, 0
84, 2.7840606962257195, 0.9088807856486577, 0.028300120267085383, 0
85, 3.1230480481734637, 0.6406365327189096, 0.0067747677272733155, 0
86, 3.3559048626515002, 0.17588544996725972, 0.008450881324947581, 0
87, 3.5406785325341037, 0.1569959610210872, 0.0008487316616341722, 0
88, 3.5184213703067018, 0.07685667614113745, 0.001945826011010476, 0
89, 3.559165695187512, 0.1936267618104601, 0.0016326348699487998, 0
90, 3.3615207667802727, 0.15481470386660198, 0.0801971593410698, 0
91, 3.5296114510930656, 0.17937117433979902, 0.007075638601130934, 0
92, 3.533214843530228, 0.10068040023261661, 0.0025706366849874585, 0
93, 3.581750673172255, 0.1640101053763373, 0.005361032219324404, 0
94, 3.6045610748601846, 0.13421977123903028, 0.018377198811192912, 0
95, 3.6376763707395208, 0.1704744749074907, 0.008461021393682742, 0
96, 3.0355472623115287, 0.048720213677950985, 0.7335221769868031, 0
97, 3.4120180696564777, 0.15527003613777257, 0.1963594715577803, 0
98, 3.4290189514367473, 0.8165182479117008, 0.45004741162337875, 0
99, 3.4474347413279607, 0.0862281298895229, 0.5370573064482895, 0
100, 3.510588905717557, 0.0976992988517926, 0.238023957312326, 0
101, 3.5555654326857797, 0.11325242459602582, 0.023096799513557868, 0
