A, mu, sigma, chi2, flag
60, 1.2737858206369037, 0.16787079186315568, 1.187330664104608e-10, 0
61, 1.8793229345367561, 0.2716922011829179, 8.865368787131197e-13, 0
62, 1.7697979366040708, 0.3674748605420586, 8.527917668057609e-11, 0
63, 1.8405906908621383, 0.35617273473145117, 3.758560802241098e-11, 0
64, 1.8642305205381264, 0.3035991827981883, 1.8974364505924346e-10, 0
65, 1.878288777930448, 0.2902724715105607, 7.702962816211524e-10, 0
66, 1.9944573875777722, 0.3190198717896926, 1.3211460303969284e-08, 0
67, 1.9030872874041855, 0.28393186914502433, 4.7979257286944335e-09, 0
68, 1.5282524217198457, 0.039664139653046826, 3.314839213812604e-07, 0
69, 1.2561321128813914, 0.6343106329108075, 1.4090039511882766e-06, 0
70, 0.28446516174508396, 0.6058981296230134, 1.1808538168241095e-05, 0
71, 1.5068165775314095, 0.21260211682638563, 1.3088976318519407e-05, 0
72, 1.883907745864744, 0.3425335336841162, 5.199332695243674e-07, 0
73, 0.5145412848415889, 0.12189303964567344, 0.00011376105447223373, 0
74, 1.6251946599537979, 0.15016258555124362, 3.6179028432450534e-05, 0
75, 1.5916824923605883, 0.10313886151076093, 0.0001438451029865264, 0
76, 2.339566157606302, 0.0780389482792303, 5.517795187970036e-05, 0
77, 1.7260700407409475, 0.07359297756957406, 7.531314170416368e-05, 0
78, 2.246889039504866, 0.13921975282130306, 2.557435180385305e-05, 0
79, 0.4608295718293635, 0.10543088337632402, 0.011713778589054072, 0
80, 2.392286563239543, 0.08324367450065599, 0.00020616672352418686, 0
81, 1.6339433666104564, 0.17127548274733034, 0.018317100854688066, 0
82, 2.0565827227441806, 0.0288612877808907, 0.02175110481247132, 0
83, 2.2303609122852714, 0.15021212429705144, 0.013343476294374372, 0
84, 1.9008945651075049, 0.38056456762441215, 0.020500972802577618, 0
85, 2.3693169946991093, 0.1748004652754373, 0.006283232082067467, 0
86, 2.3639746592734645, 0.17975947340770262, 0.005916102784651833, 0
87, 2.3626852823283198, 0.12074678952445579, 0.0365974057898478, 0
88, 2.1808194096214213, 0.7247296379579324, 0.20746846299497984, 0
89, 2.4378060149409837, 0.1058064267881368, 0.06209104829498961, 0
90, 2.215635812448738, 0.010010653719294327, 0.36577755206712664, 0
91, 2.347881248935735, 0.17601510231920897, 0.024645188933367104, 0
92, 2.3892037783707085, 0.1807674345007979, 0.017217048390620625, 0
93, 2.2546816440473454, 0.019703365086050084, 0.5014589985686377, 0
94, 2.3731750907863747, 0.14998550312475817, 0.033433085692721624, 0
95, 2.377440954919291, 0.16928727120570147, 0.03529649629178513, 0
96, 2.2010421474543773, 0.9712960809591659, 4.033695922772902, 0
97, 2.6669033291936106, 0.14100371037079032, 2.8945703548448627, 0
98, 1.9222109937914293, 0.043208782626206865, 1.0584968222010176, 0
99, 2.026690223018053, 0.3930074058753013, 0.026224515105391356, 0
100, 1.8612266134153534, 0.011323250346024105, 0.3124504654028578, 0
101, 1.5369647958355017, 0.08605038475113232, 0.18278101984019568, 0
102, 1.9230561792956522, 0.38305142717104307, 0.7577819072238927, 0
103, 1.0015246158369324, 0.2357425115941424, 0.50157511725948, 0
104, 1.700767848842791, 0.15055790425313775, 0.17333979658306264, 0
105, 1.4797965130418618, 0.17357744344029236, 0.24545188968923526, 0
106, 1.1136025969396466, 0.571386161159141, 0.4567653377400205, 0
107, 1.50278091430845, 0.6751975254137154, 0.600571809744304, 0
108, 1.4873164239098073, 0.2245153252724894, 0.3316695772855737, 0
109, 2.050630695617785, 0.020341685532174747, 0.038729654664121614, 0
110, 1.766021087145014, 0.4461171919209249, 5.474952999761929e-05, 0
111, 2.207317685703104, 1.0221789705727478, 0.007731097086881206, 0
112, 2.9153936064155133, 0.8807166388741531, 0.0013456289501925548, 0
