A, mu, sigma, chi2, flag
59, 1.1428336609346166, 1.0786806007030365, 0.0, 0
60, 1.337258781628317, 0.10676057738294786, 1.1140962170900291e-10, 0
61, 1.494817932191475, 0.4224738662645491, 4.804421131870463e-12, 0
62, 0.9161257883848462, 0.9190290270518366, 5.158636231216321e-11, 0
63, 1.5083550456514465, 0.15476175957911975, 2.826844183194943e-10, 0
64, 1.5089674490816214, 0.16167613803611114, 2.7482547976282153e-09, 0
65, 1.501746168509345, 0.1251554416820453, 1.2844138703157888e-08, 0
66, 1.5007913529673862, 0.06774992009872305, 2.2330719590947342e-08, 0
67, 1.45304326267345, 0.45658960287498296, 2.6612871325463758e-08, 0
68, 0.8028464926286183, 0.7113898432933737, 1.7847942398352897e-06, 0
69, 0.6646053631465749, 0.788250629140084, 6.902056081413445e-07, 0
70, 0.35400783932986357, 0.29614413567792397, 2.8985131014565768e-05, 0
71, 1.376810965748335, 0.19065323594667727, 1.392907371611959e-05, 0
72, 1.3942798482349812, 0.51495673273135, 5.008355181426582e-06, 0
73, 0.47911129216684145, 0.1957152727185023, 0.00019023488050058058, 0
74, 1.4313823710795506, 0.20845655209988934, 0.00020236699334988587, 0
75, 1.452742454236259, 0.14466856399897465, 0.00022815159165073926, 0
76, 1.520668479733825, 0.24413176555588284, 0.0011317779088712634, 0
77, 1.441186442774157, 0.4452071226385483, 0.0006762634475339151, 0
78, 1.4500252557033402, 0.5238597270091989, 0.0012697965427053174, 0
79, 0.22452608086031212, 0.28248410759727555, 0.017316206782218554, 0
80, 1.5976305105014221, 0.12153287669246686, 0.005015274999168179, 0
81, 1.465345608025842, 0.11603891141456724, 0.02156768558922201, 0
82, 1.465345608025842, 0.11603891141456724, 0.298415429836784, 1
83, 1.6883040202779347, 0.4673470436732016, 0.013858255890698912, 0
84, 2.1330821328432634, 0.02200506358642329, 0.08177457113185875, 0
85, 1.8489756701698417, 0.23574451837658192, 0.0005346269251072782, 0
