Y_tot/Y_tot_orig, Z_tot/Z_CN, A_tot/(A_CN-nu_bar)
1.0001947493073144, 1.0000047374897716, 1.0000873147496059
1.0001575753021716, 1.0000000847431039, 0.9999736819870187
1.0001947493073138, 1.0000034286827448, 0.9999322489512676
1.0001575753021703, 1.000000112721694, 1.000043725153285
1.0001947493073131, 1.0000015213875517, 0.999939227755977
1.0001575753021703, 1.0000001356732808, 0.9999415793215034
1.0001947493073138, 1.0000027071559057, 1.0000463397861181
1.0001575753021725, 1.000000103891454, 1.0000771038631269
1.0001947493073144, 1.0000008314764963, 0.999942807924238
1.0001575753021716, 1.0000001205839384, 0.9999568882757001
1.0001947493073151, 1.000001708000171, 0.9999449611330027
1.0001575753021734, 1.0000001336936855, 1.0000693334151425
1.0001947493073138, 1.0000100162426484, 0.9999742065140337
1.000157575302172, 1.0000001311846767, 1.0000688270812428
1.0001947493073127, 1.0000108585710283, 1.0000559060454195
1.0001575753021745, 1.0000001200217845, 1.0000213562225646
1.0001947493073138, 1.0000071251548375, 0.9999876721819265
1.000157575302171, 1.0000001283643944, 1.0000839990626063
1.000194749307315, 1.0000012828829627, 0.9999355588003479
1.00015757530217, 1.0000001032146835, 1.0000512262602832
1.0001947493073167, 1.000009844635837, 1.0000143521396612
1.000157575302171, 1.000000105897255, 1.0000922472865017
1.0001947493073131, 1.0000092163705565, 0.9999599105161553
1.0001575753021725, 1.0000001116491475, 1.0000753077346856
1.0001947493073162, 1.0000016405493406, 1.0000347863878813
1.000157575302171, 1.0000001235203426, 1.0000820977600198
1.0001947493073138, 1.0000027392079198, 0.9999575560105867
1.0001575753021712, 1.000000104054455, 1.0000215556438512
1.0001947493073142, 1.0000061967154155, 0.9999603247272256
1.0001575753021756, 1.0000000839120449, 0.9999693925786108
1.0001947493073158, 1.0000115307941835, 1.0000101623590831
1.0001575753021739, 1.000000087515369, 1.000041187119985
1.0001947493073131, 1.000002091190211, 1.0000073847193713
1.0001575753021694, 1.0000001113836443, 1.0000203652497848
1.0001947493073153, 1.000010692041896, 1.00003487507561
1.0001575753021688, 1.000000117893992, 1.0000243642592068
1.0001947493073147, 1.000001236557783, 1.0000502867592282
1.0001575753021712, 1.0000001399796188, 1.0000419557973614
1.0001947493073131, 1.00000284904884, 0.9999689771939342
1.0001575753021699, 1.0000001333060953, 1.000084947065772
1.0001947493073136, 1.0000059135920176, 0.9999306076634841
1.000157575302173, 1.000000097582035, 0.9998997870484914
1.0001947493073142, 1.0000057831092324, 1.0000052047097043
1.000157575302173, 1.0000001238167278, 1.0000594349044567
1.0001947493073133, 1.0000047151881726, 0.9999582954150765
1.000157575302172, 1.0000000954316317, 0.9999962745805984
1.0001947493073133, 1.0000056359045515, 0.9999342849553031
1.0001575753021679, 1.0000000735976642, 1.0000566071493548
1.0001947493073133, 1.000001785129622, 1.0000627010339898
1.0001575753021725, 1.0000000879198854, 1.0000949646849595
1.000194749307313, 1.000003415401655, 1.0000242799127474
1.000157575302172, 1.0000000832965796, 1.0000633892668949
1.0001947493073127, 1.000006149374352, 0.9999723724651547
1.000157575302173, 1.000000114210942, 0.9999074329937946
1.0001947493073138, 1.000001590637579, 0.9999484577640175
1.000157575302172, 1.0000000797650406, 1.000090562742141
1.0001947493073138, 1.0000041335984704, 0.9999631830550674
1.0001575753021696, 1.0000001083049685, 0.9999950535777243
1.0001947493073113, 1.0000077448968183, 1.0000707278554868
1.0001575753021705, 1.000000097956802, 1.0000672452272066
1.0001947493073127, 1.00000292003845, 0.9999404913892431
1.0001575753021725, 1.0000001231121776, 1.0000245026868206
1.000194749307315, 0.9999994891773502, 1.000017092534363
1.0001575753021703, 1.0000001131619336, 0.9999300761497839
1.0001947493073133, 1.0000073769906397, 1.00000995854816
1.0001575753021705, 1.0000001075394553, 0.9999386689330255
1.000194749307315, 1.0000047560420502, 1.0001189192195987
1.0001575753021736, 1.000000103610832, 1.000055957021904
1.000194749307316, 1.000008227961251, 1.000097447307871
1.0001575753021716, 1.0000000926245012, 1.0000567070532063
1.0001947493073138, 1.0000019047931668, 0.9999709610098455
1.0001575753021745, 1.0000001362364348, 1.000005567189944
1.0001947493073142, 0.9999954172248867, 1.0000545885098615
1.0001575753021716, 1.0000001179386284, 1.0000059080438206
1.0001947493073116, 1.000010483853892, 0.9999305804770839
1.000157575302171, 1.0000000728663394, 1.0000804400055374
1.000194749307314, 0.9999949262705505, 0.9999503881169765
1.0001575753021723, 1.0000000971971241, 0.9999072149479645
1.0001947493073122, 1.000012450924996, 0.9999558496941923
1.0001575753021716, 1.0000001168830566, 1.0000930660908742
1.0001947493073127, 0.9999941092030193, 0.9999466397668371
1.0001575753021734, 1.0000001424932103, 1.0000383344368324
1.0001947493073131, 1.000004036272879, 0.9999472899015905
1.0001575753021716, 1.0000000983442705, 1.0000983701007915
1.0001947493073131, 1.0000133080491571, 0.9999974832244362
1.000157575302174, 1.0000001003737766, 1.0000084105358218
1.0001947493073138, 1.0000046037729662, 0.9999643272792508
1.0001575753021716, 1.0000001244035663, 1.0000475446998867
1.000194749307314, 1.0000058598668673, 1.0000171565951006
1.0001575753021719, 1.0000001223529849, 0.99994131441675
1.000194749307313, 1.000001398890702, 0.9999570285375502
1.000157575302172, 1.0000001443931708, 1.0000733526435739
1.000194749307314, 1.000008272233131, 0.9999402323871365
1.000157575302172, 1.0000001095173634, 0.9999209651523486
1.0001947493073142, 1.0000102601061691, 0.9999582841622097
1.000157575302172, 1.0000000700611296, 1.0000577229634253
1.0001947493073133, 1.0000102166127354, 1.000083988877104
