A, mu, sigma, chi2_before, chi2_after, % change, flag
66, 2.6144309253194757, 0.14314042203722432, 3.538394394568273e-07, 4.782481980825166e-07, 35.15966417329483, 0
67, 2.669319339452099, 0.13026826324138274, 1.2070215782638105e-06, 1.6613092916658208e-06, 37.637083013500174, 0
68, 2.42829360249455, 0.1304487463198325, 2.095780662281794e-06, 7.865989501101909e-06, 275.32503485063, 0
69, 2.439010144322394, 0.18838323214599595, 3.867350238434966e-06, 0.0002147025910711818, 5451.671760612696, 0
70, 1.8011460778944555, 0.016745215244091227, 8.443685940363771e-06, 0.0004484788702414767, 5211.411075790857, 0
71, 2.155610251995585, 0.17531034252671507, 2.8176897005068892e-05, 0.00986146511087509, 34898.4070605825, 0
72, 2.317405668743066, 0.1760913035915357, 4.7134709279080686e-05, 3.4706381527279686, 7363132.330931775, 0
73, 2.2735683425820468, 0.1563692617349104, 5.852405073392091e-05, 0.4733391120745709, 808694.1728890283, 0
74, 1.709633321145189, 0.1571346938655891, 6.165338998125305e-05, 0.08296272033103942, 134463.11219264005, 0
75, 1.873817407512501, 0.026071741053440567, 0.0002805314882541446, 0.03421056676025395, 12094.911513555739, 0
76, 2.382613233106319, 0.21228612429429197, 0.006437713768594903, 0.0070882800084341654, 10.10554776468813, 0
77, 2.380889461914638, 0.18521205232280852, 0.012609048679594278, 0.013305691925528353, 5.524946914206785, 0
78, 2.5153794843613326, 0.12344512485803638, 0.01773504146177207, 0.02068883394262983, 16.655120244430595, 0
79, 1.7637768423855014, 0.03178506377461687, 0.014032797752009876, 0.01513937082854367, 7.885619789363124, 0
80, 2.4437129604575563, 0.10660652282960022, 0.0494904632354614, 0.05321629479804961, 7.528382882297495, 0
81, 2.218563698880157, 0.027957504956559465, 0.039287501770076845, 0.8416329626715023, 2042.240979324698, 0
82, 1.5610209782645406, 0.2311978231353085, 0.02450946392096651, 0.050598536123898384, 106.44489119410767, 0
83, 2.291515687921821, 0.11335680817914126, 0.033983485745668875, 0.04180250614887998, 23.00829426895275, 0
84, 2.2301370018876634, 0.010571964532342104, 0.0675146113592075, 0.20103566763228994, 197.76616288686245, 0
