20, 50, 0, 3.0696e-10, 2.2044000000000002e-10
20, 51, 0, 2.702e-10, 2.0529e-10
20, 52, 0, 2.6489e-10, 2.0524e-10
21, 50, 0, 7.734700000000001e-11, 5.9676e-11
21, 50, 1, 3.3023e-11, 2.5478e-11
21, 51, 0, 5.172e-10, 3.7431e-10
21, 52, 0, 9.3491e-10, 6.7595e-10
21, 53, 0, 1.6443999999999998e-09, 1.1992e-09
21, 54, 0, 1.0743e-09, 8.3675e-10
21, 55, 0, 8.465e-10, 6.6487e-10
21, 56, 0, 2.0749e-10, 1.6459e-10
22, 52, 0, 3.5042e-10, 2.6926e-10
22, 53, 0, 1.1242000000000001e-09, 8.442900000000001e-10
22, 54, 0, 3.9237e-09, 2.8082e-09
22, 55, 0, 5.868700000000001e-09, 4.264100000000001e-09
22, 56, 0, 8.7476e-09, 6.4773e-09
22, 57, 0, 4.543200000000001e-09, 3.5732e-09
22, 58, 0, 2.6951e-09, 2.1297e-09
22, 59, 0, 5.3153e-10, 4.2237e-10
23, 54, 0, 4.0797999999999997e-10, 3.2349e-10
23, 55, 0, 3.3827999999999995e-09, 2.5583999999999998e-09
23, 56, 0, 9.0871e-09, 6.7089e-09
23, 57, 0, 2.5642e-08, 1.8341e-08
23, 58, 0, 2.9935e-08, 2.2212e-08
23, 59, 0, 3.7327e-08, 2.838e-08
23, 60, 0, 1.4855e-08, 1.1787e-08
23, 61, 0, 6.8305e-09, 5.429e-09
23, 62, 0, 1.0798e-09, 8.5753e-10
23, 63, 0, 1.4581e-10, 1.1615000000000001e-10
24, 56, 0, 9.4584e-10, 7.460900000000001e-10
24, 57, 0, 5.2039e-09, 4.0818000000000005e-09
24, 58, 0, 3.2831e-08, 2.4187e-08
24, 59, 0, 7.3908e-08, 5.355100000000001e-08
24, 60, 0, 1.6431e-07, 1.1777e-07
24, 61, 0, 1.5465e-07, 1.1680000000000001e-07
24, 62, 0, 1.6026e-07, 1.2366e-07
24, 63, 0, 5.11e-08, 4.051e-08
24, 64, 0, 1.6790999999999998e-08, 1.3431e-08
24, 65, 0, 2.0785e-09, 1.652e-09
24, 66, 0, 2.2248e-10, 1.7673e-10
25, 58, 0, 8.1333e-10, 6.452e-10
25, 59, 0, 1.2268000000000001e-08, 9.6159e-09
25, 60, 0, 5.1977e-09, 4.0306e-09
25, 60, 1, 4.6163e-08, 3.5797e-08
25, 61, 0, 2.577e-07, 1.8719000000000002e-07
25, 62, 0, 4.1499000000000004e-07, 2.9992e-07
25, 62, 1, 7.45e-08, 5.3842e-08
25, 63, 0, 9.0332e-07, 6.5595e-07
25, 64, 0, 6.3181e-07, 4.8971e-07
25, 65, 0, 5.2938e-07, 4.1476e-07
25, 66, 0, 1.3694e-07, 1.0857000000000001e-07
25, 67, 0, 3.4515e-08, 2.7607e-08
25, 68, 0, 3.1673e-09, 2.5111e-09
